accommodates,availability_30,bathrooms,bed_type_Real Bed,bed_type_Futon,bed_type_Airbed,bed_type_Pull-out Sofa,bed_type_Couch,bedrooms,beds,calculated_host_listings_count,cancellation_policy_flexible,cancellation_policy_strict,cancellation_policy_moderate,cancellation_policy_super_strict_30,cancellation_policy_no_refunds,guests_included,host_is_superhost,host_listings_count,instant_bookable,maximum_nights,number_of_reviews,property_type_Apartment,property_type_House,property_type_Townhouse,property_type_Other,property_type_Cabin,property_type_Loft,property_type_Condominium,property_type_Camper/RV,property_type_Tent,property_type_Bungalow,property_type_Bed & Breakfast,property_type_Villa,property_type_Boat,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,price
5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,95.0,10.0,1.0,0.0,0.0,109
8.0,28.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,120.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,100.0,10.0,1.0,0.0,0.0,119
3.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,100.0,10.0,1.0,0.0,0.0,80
4.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,90.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,97.0,10.0,1.0,0.0,0.0,197
7.0,17.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,4.0,0.0,365.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,95.0,10.0,1.0,0.0,0.0,189
4.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,100.0,10.0,1.0,0.0,0.0,398
1.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,96.0,10.0,0.0,0.0,1.0,33
2.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,365.0,174.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,9.0,98.0,10.0,1.0,0.0,0.0,60
2.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,100.0,10.0,1.0,0.0,0.0,75
2.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,100.0,10.0,0.0,1.0,0.0,75
